 (-10; 99.9) 
 (-3.33333; 10.8111) 
 (3.33333; 11.4111) 
 (10; 100.1) 
-10; 99.9; 0
-9.97; 99.2982; 0.002391
-9.94; 98.6982; 0.00476398
-9.91; 98.1001; 0.00711893
-9.88; 97.5037; 0.00945583
-9.85; 96.9092; 0.0117747
-9.82; 96.3165; 0.0140754
-9.79; 95.7256; 0.0163581
-9.76; 95.1365; 0.0186226
-9.73; 94.5493; 0.020869
-9.7; 93.9638; 0.0230972
-9.67; 93.3802; 0.0253073
-9.64; 92.7984; 0.0274992
-9.61; 92.2184; 0.0296728
-9.58; 91.6402; 0.0318283
-9.55; 91.0638; 0.0339655
-9.52; 90.4893; 0.0360844
-9.49; 89.9165; 0.038185
-9.46; 89.3456; 0.0402674
-9.43; 88.7765; 0.0423314
-9.4; 88.2092; 0.044377
-9.37; 87.6438; 0.0464043
-9.34; 87.0801; 0.0484132
-9.31; 86.5183; 0.0504037
-9.28; 85.9583; 0.0523758
-9.25; 85.4001; 0.0543294
-9.22; 84.8437; 0.0562645
-9.19; 84.2891; 0.0581812
-9.16; 83.7364; 0.0600793
-9.13; 83.1854; 0.0619589
-9.1; 82.6363; 0.0638199
-9.07; 82.089; 0.0656623
-9.04; 81.5435; 0.0674861
-9.01; 80.9998; 0.0692913
